localidade,year,region,n_minutes,n_transects,effort_minutes,effort_hours,n_positive,sum_weight,shoreline_m,uni100m,denominator,dpue,rai_w
NAUFRAGIO DO LILI,2025,REBIO,34,2,34,0.5666666666666667,12,1.2000000000000002,93.052,0.93052,0.5272946666666667,22.757673761160742,2.2757673761160744
PEDRA DO ELEFANTE,2022,REBIO,56,2,56,0.9333333333333333,4,0.34,265.827,2.65827,2.481052,1.612219332766907,0.1370386432851871
PEDRA DO ELEFANTE,2024,REBIO,30,1,30,0.5,6,2.44,265.827,2.65827,1.329135,4.514214131747339,1.8357804135772513
PONTA DAS CANAS,2024,SURROUNDINGS,33,1,33,0.55,0,0,663.035,6.63035,3.6466925000000003,0,0
PORTINHO NORTE,2023,REBIO,124,3,124,2.066666666666667,0,0,422.674,4.2267399999999995,8.735262666666667,0,0
PORTINHO SUL,2023,REBIO,157,5,157,2.6166666666666667,0,0,401.159,4.01159,10.496993833333333,0,0
RANCHO NORTE,2022,REBIO,60,2,60,1,1,0.04,702.405,7.02405,7.02405,0.14236800706145314,0.005694720282458126
RANCHO NORTE,2023,REBIO,45,1,45,0.75,0,0,702.405,7.02405,5.2680375,0,0
RANCHO NORTE,2024,REBIO,111,4,111,1.85,19,5.54,702.405,7.02405,12.9944925,1.4621579103608702,0.4263344643894327
SACO DA MULATA NORTE,2023,REBIO,97,2,97,1.6166666666666667,0,0,407.004,4.0700400000000005,6.579898000000001,0,0
SACO DA MULATA SUL,2023,REBIO,40,1,40,0.6666666666666666,0,0,554.63,5.5463,3.697533333333333,0,0
SACO DAGUA,2022,REBIO,60,1,60,1,0,0,558.439,5.58439,5.58439,0,0
SACO DAGUA,2024,REBIO,340,6,340,5.666666666666667,0,0,558.439,5.58439,31.64487666666667,0,0
SACO DO BATISMO,2022,NEAR_REBIO,82,2,82,1.3666666666666667,0,0,413.894,4.13894,5.656551333333333,0,0
SACO DO BATISMO,2023,NEAR_REBIO,125,3,125,2.0833333333333335,1,0.04,413.894,4.13894,8.622791666666666,0.11597172222839665,0.0046388688891358665
SACO DO BATISMO,2025,NEAR_REBIO,174,3,174,2.9,2,0.2,413.894,4.13894,12.002925999999999,0.16662603768447795,0.016662603768447797
SACO DO CAPIM,2023,NEAR_REBIO,177,5,177,2.95,1,0.04,539.427,5.394270000000001,15.913096500000002,0.0628413206694247,0.0025136528267769884
SACO DO CAPIM,2025,NEAR_REBIO,131,3,131,2.183333333333333,0,0,539.427,5.394270000000001,11.7774895,0,0
SAQUINHO DAGUA,2024,REBIO,110,5,110,1.8333333333333333,2,0.08,289.082,2.8908199999999997,5.299836666666666,0.3773701202112518,0.015094804808450074
SEPULTURA,2023,SURROUNDINGS,60,1,60,1,0,0,478.633,4.7863299999999995,4.7863299999999995,0,0
TAMBORETES NORTE,2023,SURROUNDINGS,119,4,119,1.9833333333333334,0,0,814.655,8.14655,16.157324166666665,0,0
TAMBORETES SUL,2023,SURROUNDINGS,188,5,188,3.1333333333333333,0,0,942.781,9.42781,29.54047133333333,0,0
TIPITINGA,2023,SURROUNDINGS,88,2,88,1.4666666666666666,0,0,503.018,5.03018,7.377597333333332,0,0
VIDAL,2023,NEAR_REBIO,138,4,138,2.3,6,2.18,391.929,3.9192899999999997,9.014366999999998,0.6656041405902379,0.2418361710811198
VIDAL,2024,NEAR_REBIO,65,2,65,1.0833333333333333,7,2.16,391.929,3.9192899999999997,4.245897499999999,1.6486502559235123,0.5087263646849696
VIDAL,2025,NEAR_REBIO,120,3,120,2,3,1.24,391.929,3.9192899999999997,7.838579999999999,0.38272238083938676,0.1581919174136132
XAVIER,2024,SURROUNDINGS,355,8,355,5.916666666666667,0,0,652.198,6.52198,38.58838166666667,0,0
