localidade,region,year,effort_minutes,n_positive,shoreline_m,uni100m,denominator,dpue,rai_w
SACO DA MULATA SUL,REBIO,2023,40,0,554.63,5.5463,3.697533333333333,0,0
SACO DAGUA,REBIO,2022,60,0,558.439,5.58439,5.58439,0,0
SACO DAGUA,REBIO,2024,340,0,558.439,5.58439,31.64487666666667,0,0
SACO DO BATISMO,NEAR_REBIO,2022,82,0,413.894,4.13894,5.656551333333333,0,0
SACO DO CAPIM,NEAR_REBIO,2025,131,0,539.427,5.394270000000001,11.7774895,0,0
SEPULTURA,SURROUNDINGS,2023,60,0,478.633,4.7863299999999995,4.7863299999999995,0,0
TAMBORETES NORTE,SURROUNDINGS,2023,119,0,814.655,8.14655,16.157324166666665,0,0
TAMBORETES SUL,SURROUNDINGS,2023,188,0,942.781,9.42781,29.54047133333333,0,0
TIPITINGA,SURROUNDINGS,2023,88,0,503.018,5.03018,7.377597333333332,0,0
XAVIER,SURROUNDINGS,2024,355,0,652.198,6.52198,38.58838166666667,0,0
