model,term,estimate,std.error,statistic,p.value,r_squared,adj_r_squared
DPUE_year,(Intercept),-212.30839665482864,126.43060412009423,-1.679248455169609,0.09783220635563158,0.04105567984781804,0.026526220451572824
DPUE_year,year,0.10502404890505702,0.06247796292188076,1.6809774837949456,0.09749430479615856,0.04105567984781804,0.026526220451572824
DPUE_year_effort,(Intercept),-269.8181405829504,127.10761603761755,-2.122753529600442,0.03758824156570709,0.09544314849413446,0.06761062998626177
DPUE_year_effort,year,0.1335525365562697,0.06282516358837535,2.125780959860185,0.03732557371760496,0.09544314849413446,0.06761062998626177
DPUE_year_effort,effort_minutes,-0.0017953268860367343,9.081453576370366e-4,-1.9769157777870647,0.05229607163230153,0.09544314849413446,0.06761062998626177
RAIW_year,(Intercept),-102.32160576794479,58.706630346403244,-1.7429309971324847,0.08600298658198677,0.044072380237738865,0.029588628423159125
RAIW_year,year,0.0506062920227048,0.029010940029734377,1.7443864959507192,0.08574708100726262,0.044072380237738865,0.029588628423159125
RAIW_year_effort,(Intercept),-121.81913353503049,59.84370865006462,-2.035621392507046,0.045868726051423836,0.07297497351967996,0.044451126551054876
RAIW_year_effort,year,0.060278304835484624,0.029578800255074415,2.037888768836847,0.04563477236217884,0.07297497351967996,0.044451126551054876
RAIW_year_effort,effort_minutes,-6.086696517940825e-4,4.2756514431248246e-4,-1.4235717291053112,0.1593530877847384,0.07297497351967996,0.044451126551054876
