year,n_sites,effort_minutes,positive_detections,positive_per_hour,mean_dpue,mean_raiw
2022,8,548,7,0.7664233576642336,0.29504784312893945,0.02435226684277318
2023,27,3190,30,0.5642633228840126,0.13360200495208907,0.055905443313623855
2024,17,2627,43,0.9821088694328132,0.5025186800819318,0.17818190001167838
2025,16,1990,92,2.7738693467336684,1.7676934357842953,0.25424074816688685
